,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
200010,396.24,2615.49,1745.11,9130.73,18701.69,275.54,2671.92,1736.04,2410.67,436.82,868.99,961.82,4782.22,2631.14,258.36,255.08,906.4,430.79,1849.92,184.08,1094.92,1246.36,2198.58,7688.13,1772.27,2124.83,642.49,690.6,560.12,3946.77,3161.36,5656.94,393.72,867.29,8607.01,2566.09,4211.1,1128.38,2080.34,632.31,986.94,848.43,2494.39,704.31,1829.62,3851.84,223.8,3189.27,10993.37
200011,353.23,2783.46,1979.25,9952.33,22978.72,299.59,2649.9,1698.26,2633.36,465.45,935.23,970.62,5018.63,2751.55,224.04,247.95,966.16,451.71,1624.85,177.37,1050.25,1127.62,2276.67,8787.93,1992.67,2304.26,512.02,714.51,600.22,3854.08,3129.28,5686.11,380.47,868.85,8258.43,2353.74,3900.81,1071.56,2237.43,637.05,1075.04,844.86,2497.28,740.6,1831.2,4045.91,224.29,2917.55,10582.94
200012,368.36,2833.75,2561.91,10339.64,23912.72,284.52,2324.17,1625.17,2669.23,484.85,994.17,987.85,5127.24,2795.47,227.48,254.7,939.26,461.62,1385.74,171.1,952.86,1016.05,2020.49,8627.31,2114.46,2207.06,595.89,718.33,648.32,3806.64,3195.05,4858.68,360.44,815.88,6322.43,1847.67,2928.12,926.57,2259,573.35,1088.85,793.65,2531.46,801.28,1745.98,4008.17,228.31,2388.64,9864.29
200101,411.76,3078.63,2434.54,10070.82,27657.11,291.8,1424.54,1800.26,2875.93,562.09,1113.27,1044.86,5324.75,3112.77,258.81,182.5,1078.74,521.09,1449.26,156.13,1064.47,1077.8,2016.68,8600.45,2162.07,2539.99,667.4,768.23,933.15,4146.24,3298.73,4683.9,419.43,816.18,5481.76,1711.8,2845.75,1053.9,2502.26,680.8,1151.76,902.06,2693.88,849.03,1904.74,4278.48,236.32,2727.45,9886.35
200102,431.46,2914.07,2488.91,9594.98,27683.24,319.62,1674.62,1840.94,2761.71,595.99,973.91,1025.06,4855.17,2907.79,289.38,207.06,1039.66,538.46,1536.44,172.97,1184.38,1114.34,2309.53,8119.88,2007.58,2604.39,659.18,820.43,909.99,4027.69,2937.87,5370.49,449.67,849.29,6111.69,2109.32,3350.91,1093.78,2377.04,728.84,1231.69,887.58,3015.96,824.31,1922.52,3925.81,245.33,2986.17,9680.01
200103,409.68,3027.2,2671,8980.93,30308.59,335.19,1543.44,1837.01,2796.23,530.29,1047.42,1035.61,4818.03,2838.83,284.96,209.85,1058.99,533.26,1168.78,160.97,1071.34,976.08,2287.26,8436.39,1951.57,2836.43,728.19,810.35,1112.77,4112.09,3130.1,4953.66,427.86,813.57,4115.69,1736.01,2298.96,878.45,2442.78,685.33,1175.88,854.78,2868.59,831.29,1832.27,3929.6,250.09,2520.73,9978.97
200104,419.96,2960.36,2309.77,8107.39,29930.91,338.42,1456.91,1715.69,2579.85,530.95,983.16,988.97,4441.13,2705.6,288.22,209.09,1042.4,565.18,1069.59,164.9,1088.44,859.25,2239.34,8109.57,1798.88,2713.81,688.65,801.22,1322.39,4101.11,3160.61,4863.18,408.54,742.86,3360.5,1524.61,2096.31,726.64,2326.8,659.38,1148.16,809.49,2856.8,799.57,1811.21,3902.34,251.24,2222.01,9320.52
200105,411.3,2929.7,2363.57,7934.56,31604.67,351.45,1697.67,1877.42,2684.22,577.02,1053.27,992.85,4701.68,2867.91,307.9,220.14,1090.84,608.68,1212.02,161.63,1278.63,965.08,2432.69,9039.07,2187.58,2705.29,791.22,833.11,1433.95,4566.33,3355.83,5006.99,431.01,814.31,3781.3,1905.36,2522.51,863.52,2495.77,703.39,1218.84,895.66,3042.24,868.44,1871.42,4103.61,261.07,2525,10569.93
200106,441.83,3005.87,2357.24,8296.77,32320.7,392.16,1951.45,2009.5,2866,614.37,1074.17,1024.7,4824.18,2894.34,304.37,225.33,1125.47,617.98,1245.55,158.76,1281.11,1015.32,2344.02,9255.47,2204.76,2911.66,864.98,930.54,1231.81,4588.09,3358.86,5025.77,481.85,863.54,3640.38,1959.01,2318.12,858.56,2568.4,732.84,1277.11,897.5,3102.74,902.82,1947.27,4283.24,278.94,2637.31,11106.24
200107,306.77,3037.64,2528.26,8761.76,24573.76,388.06,644.31,2040.48,2922.08,636.62,1326.03,984.2,4444.9,2241.74,313.04,246.18,1161.06,565.21,1140.7,217.64,1216.71,910.07,2102.79,8263.91,2185,2605.87,839.33,878.79,1286.77,3834.07,3471.19,5853.02,500.58,844.63,3540.35,2093.44,2216.27,868.36,2521.49,706.98,1311.89,927.19,2983.36,824.22,1991.17,4538.73,262.3,2849.92,10760.31
